Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Outpatient Surgical Procedures,Gallbladder,0,Samaritan Pacific Comm Hosp,10,12480,13951,15891,,,,,,
Outpatient Surgical Procedures,Gallbladder,0,Santiam Hosp,15,12392,13347,15037,10,10840,12316,13933,1031,0.084
Outpatient Surgical Procedures,Gallbladder,0,Sky Lakes Med Ctr,28,17148,18987,19855,17,14883,18954,21028,33,0.002
Outpatient Surgical Procedures,Gallbladder,0,St Alphonsus Med Ctr-Ontario,13,13998,15673,16616,,,,,,
Outpatient Surgical Procedures,Gallbladder,0,St Anthony Hospital,25,13228,14249,14969,31,10593,12661,13344,1588,0.125
Outpatient Surgical Procedures,Gallbladder,0,St Charles Med Ctr-Bend,22,9094,11560,13516,26,9160,10415,13183,1145,0.11
Outpatient Surgical Procedures,Gallbladder,0,St Charles Med Ctr-Redmond,29,8962,9959,12076,29,9074,10263,11565,-304,-0.03
Outpatient Surgical Procedures,Gallbladder,0,Willamette Valley Med Ctr,17,13338,13338,14857,26,10943,12358,12358,980,0.079
Outpatient Surgical Procedures,Hernia repair,1,Statewide,2204,7016,9533,13395,2374,6606,9036,12708,497,0.055
Outpatient Surgical Procedures,Hernia repair,0,Adventist Med Ctr,25,6369,8360,9502,17,6643,7868,8250,492,0.063
Outpatient Surgical Procedures,Hernia repair,0,Adventist Tillamook Reg Med Ctr,12,3855,8563,11151,11,8608,9330,11668,-767,-0.082
Outpatient Surgical Procedures,Hernia repair,0,Asante Ashland Comm Hosp,22,9036,10685,14457,24,5278,6618,11020,4067,0.615
Outpatient Surgical Procedures,Hernia repair,0,Asante Rogue Valley Med Ctr,57,9532,11754,13781,83,7221,9758,10547,1996,0.205
Outpatient Surgical Procedures,Hernia repair,0,Asante Three Rivers Med Ctr,49,9793,10934,12820,34,10317,10641,12036,293,0.028
Outpatient Surgical Procedures,Hernia repair,0,Good Samaritan Regional Med Ctr,35,8999,11671,19295,51,10616,15377,19864,-3706,-0.241
Outpatient Surgical Procedures,Hernia repair,0,Grande Ronde Hosp,17,6053,8103,14258,26,6816,8823,10069,-720,-0.082
Outpatient Surgical Procedures,Hernia repair,0,Kaiser Sunnyside Med Ctr,22,5105,13887,17708,37,2686,8110,13493,5777,0.712
Outpatient Surgical Procedures,Hernia repair,0,Kaiser Westside Med Ctr,242,5788,7868,13075,231,5548,7817,13670,51,0.007
Outpatient Surgical Procedures,Hernia repair,0,Legacy Emanuel Med Ctr,68,6646,8940,11435,66,7798,8855,10670,85,0.01
Outpatient Surgical Procedures,Hernia repair,0,Legacy Good Samaritan Med Ctr,91,8320,9722,13784,74,7761,8939,12600,783,0.088
Outpatient Surgical Procedures,Hernia repair,0,Legacy Meridian Park Med Ctr,37,8416,11773,13784,45,8432,12031,12989,-258,-0.021
Outpatient Surgical Procedures,Hernia repair,0,Legacy Mount Hood Med Ctr,48,8743,11796,13784,35,8547,12823,14740,-1027,-0.08
Outpatient Surgical Procedures,Hernia repair,0,Legacy Silverton Med Ctr,45,12132,15818,20082,49,8861,11940,15904,3878,0.325
Outpatient Surgical Procedures,Hernia repair,0,McKenzie-Willamette Med Ctr,43,4623,7920,12721,39,2930,7492,15600,428,0.057
Outpatient Surgical Procedures,Hernia repair,0,Mercy Med Ctr,44,9484,10677,12840,43,7795,9830,12633,847,0.086
Outpatient Surgical Procedures,Hernia repair,0,Mid-Columbia Med Ctr,22,7817,11473,16466,13,9230,13745,17746,-2272,-0.165
Outpatient Surgical Procedures,Hernia repair,0,OHSU Hosp,141,7820,10234,13586,128,7039,8728,12254,1506,0.173
Outpatient Surgical Procedures,Hernia repair,0,PeaceHealth Peace Harbor Med Ctr,11,9921,10309,12092,,,,,,
Outpatient Surgical Procedures,Hernia repair,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,95,8585,11623,16357,115,9224,10822,14286,801,0.074
Outpatient Surgical Procedures,Hernia repair,0,Providence Hood River Mem Hosp,26,2100,7055,8563,21,7319,9320,15376,-2265,-0.243
Outpatient Surgical Procedures,Hernia repair,0,Providence Medford Med Ctr,40,8447,10090,16457,62,8211,12646,16757,-2556,-0.202
Outpatient Surgical Procedures,Hernia repair,0,Providence Milwaukie Hosp,43,5695,6163,7953,55,5787,6148,8571,15,0.002
Outpatient Surgical Procedures,Hernia repair,0,Providence Newberg Med Ctr,151,7878,8834,10837,169,7622,9336,11329,-502,-0.054
Outpatient Surgical Procedures,Hernia repair,0,Providence Portland Med Ctr,112,3375,7085,9128,123,5787,8079,8571,-994,-0.123
Outpatient Surgical Procedures,Hernia repair,0,Providence Seaside Hosp,12,8780,12363,15697,,,,,,
Outpatient Surgical Procedures,Hernia repair,0,Providence St Vincent Med Ctr,209,6163,8434,9470,212,5787,7193,8571,1241,0.173
Outpatient Surgical Procedures,Hernia repair,0,Providence Willamette Falls Med Ctr,19,8800,12462,12958,20,9236,12462,13760,0,0
Outpatient Surgical Procedures,Hernia repair,0,Salem Health Salem Hosp,86,6158,8554,12103,119,4944,9566,11569,-1012,-0.106
Outpatient Surgical Procedures,Hernia repair,0,Salem Health West Valley Hosp,22,5299,9054,9727,19,4858,8232,9659,822,0.1
Outpatient Surgical Procedures,Hernia repair,0,Samaritan Albany Gen Hosp,30,9072,15029,18144,23,9386,11803,16373,3226,0.273
Outpatient Surgical Procedures,Hernia repair,0,Samaritan Lebanon Comm Hosp,10,11349,15452,16706,16,9147,11165,14672,4287,0.384
Outpatient Surgical Procedures,Hernia repair,0,Samaritan Pacific Comm Hosp,18,7989,11451,12775,44,4901,4951,10172,6500,1.313
Outpatient Surgical Procedures,Hernia repair,0,Santiam Hosp,13,13200,14727,18056,26,6426,10091,16245,4636,0.459
Outpatient Surgical Procedures,Hernia repair,0,Sky Lakes Med Ctr,28,9851,12785,20328,30,9773,13568,18414,-783,-0.058
Outpatient Surgical Procedures,Hernia repair,0,St Alphonsus Med Ctr-Ontario,17,10551,11833,15538,14,4105,9111,11040,2722,0.299
Outpatient Surgical Procedures,Hernia repair,0,St Anthony Hospital,17,8649,9224,10677,23,7036,8667,10252,557,0.064
Outpatient Surgical Procedures,Hernia repair,0,St Charles Med Ctr-Bend,85,9353,12056,17857,96,9122,13442,19816,-1386,-0.103
Outpatient Surgical Procedures,Hernia repair,0,St Charles Med Ctr-Redmond,32,10673,13423,15047,41,10319,11935,15139,1488,0.125
Outpatient Surgical Procedures,Hernia repair,0,Tuality Comm Hosp,20,6878,8009,8531,22,5302,7404,7942,605,0.082
Outpatient Surgical Procedures,Hernia repair,0,Willamette Valley Med Ctr,29,8506,10908,13338,34,8425,8831,12358,2077,0.235
Outpatient Surgical Procedures,Hysterectomy,1,Statewide,3045,11155,17111,23325,3252,10898,16342,22907,769,0.047
Outpatient Surgical Procedures,Hysterectomy,0,Adventist Med Ctr,44,11039,17176,21982,38,9104,10732,13246,6444,0.6
Outpatient Surgical Procedures,Hysterectomy,0,Asante Ashland Comm Hosp,11,11612,17929,32958,,,,,,
Outpatient Surgical Procedures,Hysterectomy,0,Asante Rogue Valley Med Ctr,111,15148,19708,28139,118,14041,15852,20530,3856,0.243
Outpatient Surgical Procedures,Hysterectomy,0,Asante Three Rivers Med Ctr,30,16859,21770,28488,45,15608,21804,25907,-34,-0.002
Outpatient Surgical Procedures,Hysterectomy,0,Good Samaritan Regional Med Ctr,91,12935,20411,25131,97,11809,21260,27354,-849,-0.04
Outpatient Surgical Procedures,Hysterectomy,0,Good Shepherd Med Ctr,23,15147,21551,30265,11,8870,15406,26159,6145,0.399
Outpatient Surgical Procedures,Hysterectomy,0,Grande Ronde Hosp,16,15151,24926,29403,,,,,,
Outpatient Surgical Procedures,Hysterectomy,0,Kaiser Sunnyside Med Ctr,127,17251,22165,26603,282,15651,19855,25255,2310,0.116
Outpatient Surgical Procedures,Hysterectomy,0,Kaiser Westside Med Ctr,288,15277,21206,27024,335,13949,20806,26351,400,0.019
Outpatient Surgical Procedures,Hysterectomy,0,Legacy Emanuel Med Ctr,76,10546,13784,18755,67,9291,11788,13936,1996,0.169
Outpatient Surgical Procedures,Hysterectomy,0,Legacy Good Samaritan Med Ctr,135,12179,15629,20667,116,10220,13525,19871,2104,0.156
Outpatient Surgical Procedures,Hysterectomy,0,Legacy Meridian Park Med Ctr,113,11827,14693,20686,104,9642,12590,18561,2103,0.167
Outpatient Surgical Procedures,Hysterectomy,0,Legacy Mount Hood Med Ctr,28,11827,13936,23325,22,11684,13378,15530,558,0.042
Outpatient Surgical Procedures,Hysterectomy,0,Legacy Silverton Med Ctr,16,11394,17335,24845,23,10612,13473,18156,3862,0.287
Outpatient Surgical Procedures,Hysterectomy,0,McKenzie-Willamette Med Ctr,71,16986,23276,30277,65,18142,25240,31357,-1964,-0.078
Outpatient Surgical Procedures,Hysterectomy,0,Mercy Med Ctr,53,11868,15652,21763,54,11530,15688,18977,-36,-0.002
Outpatient Surgical Procedures,Hysterectomy,0,Mid-Columbia Med Ctr,15,11075,14961,20067,,,,,,
Outpatient Surgical Procedures,Hysterectomy,0,OHSU Hosp,187,12225,15739,21762,173,12206,16868,20689,-1129,-0.067
Outpatient Surgical Procedures,Hysterectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,251,20167,26720,32367,264,21541,28768,34639,-2048,-0.071
Outpatient Surgical Procedures,Hysterectomy,0,Providence Hood River Mem Hosp,12,10595,15532,21303,13,11922,17218,18410,-1686,-0.098
Outpatient Surgical Procedures,Hysterectomy,0,Providence Medford Med Ctr,81,3250,15157,23878,64,12449,18549,22360,-3392,-0.183
Outpatient Surgical Procedures,Hysterectomy,0,Providence Milwaukie Hosp,26,8052,8472,18289,27,7561,9018,17474,-546,-0.061
Outpatient Surgical Procedures,Hysterectomy,0,Providence Newberg Med Ctr,40,8627,13418,19090,49,9970,15837,19996,-2419,-0.153
Outpatient Surgical Procedures,Hysterectomy,0,Providence Portland Med Ctr,232,7440,9128,16602,247,7561,9154,19312,-26,-0.003
Outpatient Surgical Procedures,Hysterectomy,0,Providence St Vincent Med Ctr,314,8052,12621,21072,368,7561,13381,20106,-760,-0.057
Outpatient Surgical Procedures,Hysterectomy,0,Providence Willamette Falls Med Ctr,22,16034,22034,23197,28,12892,14312,21142,7722,0.54
Outpatient Surgical Procedures,Hysterectomy,0,Salem Health Salem Hosp,151,8332,11953,18192,138,7710,11160,17499,793,0.071
Outpatient Surgical Procedures,Hysterectomy,0,Samaritan Albany Gen Hosp,56,10723,15685,17688,29,12246,16764,18833,-1079,-0.064
Outpatient Surgical Procedures,Hysterectomy,0,Sky Lakes Med Ctr,82,12658,19020,23706,63,12806,19606,23005,-586,-0.03
Outpatient Surgical Procedures,Hysterectomy,0,St Anthony Hospital,25,11993,17833,21548,31,8938,15979,21176,1854,0.116
Outpatient Surgical Procedures,Hysterectomy,0,St Charles Med Ctr-Bend,170,12225,18588,23576,194,11199,16882,21149,1706,0.101
Outpatient Surgical Procedures,Hysterectomy,0,St Charles Med Ctr-Redmond,36,10847,11712,14374,40,9749,11830,14831,-118,-0.01
Outpatient Surgical Procedures,Hysterectomy,0,Tuality Comm Hosp,23,9856,12002,17150,20,10026,12452,14141,-450,-0.036
Outpatient Surgical Procedures,Hysterectomy,0,Willamette Valley Med Ctr,40,13474,18495,22570,52,12358,15146,20512,3349,0.221
Outpatient Surgical Procedures,Hysteroscopy,1,Statewide,1371,5698,7372,10108,1355,5350,7228,9697,144,0.02
Outpatient Surgical Procedures,Hysteroscopy,0,Adventist Med Ctr,20,4389,4800,6276,17,4501,6010,10982,-1210,-0.201
Outpatient Surgical Procedures,Hysteroscopy,0,Asante Rogue Valley Med Ctr,39,8063,9177,11189,25,5925,7684,7922,1493,0.194
Outpatient Surgical Procedures,Hysteroscopy,0,Columbia Mem Hosp,17,8504,10244,11474,15,6191,7076,9152,3168,0.448
Outpatient Surgical Procedures,Hysteroscopy,0,Good Samaritan Regional Med Ctr,23,8235,9627,13286,31,6978,8924,10824,703,0.079
Outpatient Surgical Procedures,Hysteroscopy,0,Good Shepherd Med Ctr,14,4028,6832,8665,13,5134,5529,8258,1303,0.236
Outpatient Surgical Procedures,Hysteroscopy,0,Grande Ronde Hosp,20,6179,7734,10298,14,6151,6881,10476,853,0.124
Outpatient Surgical Procedures,Hysteroscopy,0,Kaiser Sunnyside Med Ctr,17,8264,10033,12144,14,7802,9417,10490,616,0.065
Outpatient Surgical Procedures,Hysteroscopy,0,Kaiser Westside Med Ctr,100,5646,6911,9601,62,5633,6947,10433,-36,-0.005
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Emanuel Med Ctr,22,6682,10928,14550,26,6599,8312,11788,2616,0.315
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Good Samaritan Med Ctr,67,6682,7840,9727,66,6599,6599,9767,1241,0.188
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Meridian Park Med Ctr,29,6682,6979,8211,39,6599,7829,11437,-850,-0.109
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Mount Hood Med Ctr,18,6682,6979,8421,22,4764,6451,6599,528,0.082
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Silverton Med Ctr,26,11517,13484,16316,28,6636,10610,13281,2874,0.271
Outpatient Surgical Procedures,Hysteroscopy,0,McKenzie-Willamette Med Ctr,18,2371,11186,12855,14,8591,10023,14035,1163,0.116
Outpatient Surgical Procedures,Hysteroscopy,0,Mercy Med Ctr,34,8463,10984,13460,32,7280,10330,11650,654,0.063
Outpatient Surgical Procedures,Hysteroscopy,0,OHSU Hosp,134,5525,6249,7998,126,5576,6381,8480,-132,-0.021
Outpatient Surgical Procedures,Hysteroscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,14,6702,8309,9879,31,7884,8969,10117,-660,-0.074
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Hood River Mem Hosp,11,6446,8032,9663,14,8566,11110,11437,-3078,-0.277
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Medford Med Ctr,40,3250,7730,9562,41,2296,7371,11112,359,0.049
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Milwaukie Hosp,12,4457,5698,5725,22,5350,5945,8184,-247,-0.042
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Newberg Med Ctr,28,7339,8131,9289,28,7373,8279,8941,-148,-0.018
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Portland Med Ctr,150,2862,5698,6429,184,4923,5350,8521,348,0.065
Outpatient Surgical Procedures,Hysteroscopy,0,Providence St Vincent Med Ctr,207,5268,5725,8052,179,4478,5350,7561,375,0.07
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Willamette Falls Med Ctr,17,6594,10306,11977,23,6198,10132,11567,174,0.017
Outpatient Surgical Procedures,Hysteroscopy,0,Salem Health Salem Hosp,40,4511,6736,9737,36,4433,6018,9267,718,0.119
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan Albany Gen Hosp,18,10529,11755,16122,21,7056,9299,10132,2456,0.264
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan Lebanon Comm Hosp,10,9257,10599,12580,,,,,,
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan North Lincoln Hosp,11,6448,8823,10104,,,,,,
Outpatient Surgical Procedures,Hysteroscopy,0,Santiam Hosp,10,5541,5852,6455,,,,,,
Outpatient Surgical Procedures,Hysteroscopy,0,Sky Lakes Med Ctr,20,8367,10207,12041,33,6730,10078,11693,129,0.013
Outpatient Surgical Procedures,Hysteroscopy,0,St Anthony Hospital,17,7420,8647,11001,32,6726,7679,8720,968,0.126
Outpatient Surgical Procedures,Hysteroscopy,0,St Charles Med Ctr-Bend,76,7444,9612,12076,56,7875,9479,11502,133,0.014
Outpatient Surgical Procedures,Hysteroscopy,0,St Charles Med Ctr-Redmond,12,7569,9874,13024,17,8204,9049,12422,825,0.091
Outpatient Surgical Procedures,Hysteroscopy,0,Willamette Valley Med Ctr,27,6753,9628,12990,15,6138,6182,11215,3446,0.557
Outpatient Surgical Procedures,Knee arthroscopy,1,Statewide,1324,6166,8123,13053,1313,5787,7507,10897,616,0.082
Outpatient Surgical Procedures,Knee arthroscopy,0,Adventist Med Ctr,45,5108,6007,7656,62,4761,6703,7608,-696,-0.104
Outpatient Surgical Procedures,Knee arthroscopy,0,Asante Ashland Comm Hosp,22,5577,7698,8672,29,6654,7828,12106,-130,-0.017
Outpatient Surgical Procedures,Knee arthroscopy,0,Asante Three Rivers Med Ctr,36,6894,9104,9935,30,7270,9063,16464,41,0.005
Outpatient Surgical Procedures,Knee arthroscopy,0,Good Samaritan Regional Med Ctr,87,6141,7695,8389,86,6157,7494,7913,201,0.027
Outpatient Surgical Procedures,Knee arthroscopy,0,Good Shepherd Med Ctr,35,7069,8764,12994,34,6553,7678,10491,1086,0.141
Outpatient Surgical Procedures,Knee arthroscopy,0,Grande Ronde Hosp,27,6584,7396,16282,14,6696,8021,10318,-625,-0.078
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Emanuel Med Ctr,18,7799,8185,8642,43,6979,8144,10621,41,0.005
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Good Samaritan Med Ctr,53,8191,11138,15910,25,6328,7435,9862,3703,0.498
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Meridian Park Med Ctr,52,7865,8457,12417,33,6648,7542,8144,915,0.121
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Mount Hood Med Ctr,11,8123,8246,9537,26,7077,8144,13914,102,0.013
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Silverton Med Ctr,57,11235,13122,15059,43,7770,11982,14237,1140,0.095
Outpatient Surgical Procedures,Knee arthroscopy,0,McKenzie-Willamette Med Ctr,47,2930,7602,15252,36,3096,9458,13936,-1856,-0.196
Outpatient Surgical Procedures,Knee arthroscopy,0,Mercy Med Ctr,45,8899,12161,17092,24,6680,11974,14184,187,0.016
Outpatient Surgical Procedures,Knee arthroscopy,0,Mid-Columbia Med Ctr,13,6072,6467,28517,,,,,,
Outpatient Surgical Procedures,Knee arthroscopy,0,OHSU Hosp,194,6947,12200,16569,149,6187,11722,16105,478,0.041
Outpatient Surgical Procedures,Knee arthroscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,14,7801,9111,10478,10,9218,15337,25609,-6226,-0.406
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Milwaukie Hosp,42,5695,5698,6163,55,4923,5350,5787,348,0.065
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Newberg Med Ctr,62,7132,7535,13202,81,5118,7180,9018,355,0.049
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Portland Med Ctr,105,5695,6163,6209,99,5236,5787,5787,376,0.065
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence St Vincent Med Ctr,15,5698,7495,19104,10,5350,5787,7461,1708,0.295
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Willamette Falls Med Ctr,17,7810,8284,11026,15,7009,7461,7698,823,0.11
Outpatient Surgical Procedures,Knee arthroscopy,0,Salem Health Salem Hosp,29,4692,5979,10989,39,3756,4503,8208,1476,0.328
Outpatient Surgical Procedures,Knee arthroscopy,0,Samaritan Albany Gen Hosp,13,7532,10202,13472,18,6952,8485,9457,1717,0.202
Outpatient Surgical Procedures,Knee arthroscopy,0,Santiam Hosp,17,1222,7830,8617,,,,,,
Outpatient Surgical Procedures,Knee arthroscopy,0,Sky Lakes Med Ctr,54,6699,7219,9596,72,6266,6569,9451,650,0.099
Outpatient Surgical Procedures,Knee arthroscopy,0,St Alphonsus Med Ctr-Baker City,13,5978,6463,6884,,,,,,
Outpatient Surgical Procedures,Knee arthroscopy,0,St Alphonsus Med Ctr-Ontario,10,9577,18255,23508,,,,,,
Outpatient Surgical Procedures,Knee arthroscopy,0,St Anthony Hospital,10,7057,7555,9012,,,,,,
Outpatient Surgical Procedures,Knee arthroscopy,0,Tuality Comm Hosp,41,5408,6341,8589,37,5408,6024,8888,317,0.053
Outpatient Surgical Procedures,Knee arthroscopy,0,Willamette Valley Med Ctr,44,7860,10587,19451,56,7176,7466,15367,3121,0.418
Outpatient Surgical Procedures,Lesion removal,1,Statewide,866,1757,4593,8052,893,1834,4486,8043,107,0.024
Outpatient Surgical Procedures,Lesion removal,0,Asante Rogue Valley Med Ctr,22,7665,8535,8535,,,,,,
Outpatient Surgical Procedures,Lesion removal,0,Asante Three Rivers Med Ctr,11,2569,4576,5603,13,4552,7398,7970,-2822,-0.381
Outpatient Surgical Procedures,Lesion removal,0,Kaiser Westside Med Ctr,50,5238,6925,9901,52,5026,7260,14019,-335,-0.046
Outpatient Surgical Procedures,Lesion removal,0,Legacy Emanuel Med Ctr,26,5405,6710,9968,15,2687,6008,10320,702,0.117
Outpatient Surgical Procedures,Lesion removal,0,Legacy Good Samaritan Med Ctr,25,5221,7083,9924,38,3252,5750,9666,1333,0.232
Outpatient Surgical Procedures,Lesion removal,0,Legacy Meridian Park Med Ctr,12,3085,5941,9098,19,2120,4964,8192,977,0.197
Outpatient Surgical Procedures,Lesion removal,0,McKenzie-Willamette Med Ctr,14,4623,18502,18502,,,,,,
Outpatient Surgical Procedures,Lesion removal,0,OHSU Hosp,381,1269,2027,4333,370,1258,1884,4816,143,0.076
Outpatient Surgical Procedures,Lesion removal,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,24,1353,2443,8437,27,2591,10271,17174,-7828,-0.762
Outpatient Surgical Procedures,Lesion removal,0,Providence Milwaukie Hosp,13,2609,3801,4615,13,4313,4655,5041,-854,-0.183
Outpatient Surgical Procedures,Lesion removal,0,Providence Newberg Med Ctr,21,6135,6894,9375,27,5816,6377,9204,517,0.081
Outpatient Surgical Procedures,Lesion removal,0,Providence Portland Med Ctr,43,4593,5312,8802,46,4313,5655,8079,-343,-0.061
Outpatient Surgical Procedures,Lesion removal,0,Providence St Vincent Med Ctr,50,4593,5020,8090,66,2719,4313,5946,707,0.164
Outpatient Surgical Procedures,Lesion removal,0,Salem Health Salem Hosp,30,2663,5375,9296,15,2992,5277,7268,98,0.019
Outpatient Surgical Procedures,Lesion removal,0,Sky Lakes Med Ctr,16,4455,5584,8705,,,,,,
Outpatient Surgical Procedures,Liver biopsy,1,Statewide,330,2633,2900,4188,329,2461,3012,3904,-112,-0.037
Outpatient Surgical Procedures,Liver biopsy,0,Asante Rogue Valley Med Ctr,14,3573,4766,5443,17,3513,4115,4556,651,0.158
Outpatient Surgical Procedures,Liver biopsy,0,Kaiser Sunnyside Med Ctr,62,2634,2749,2749,59,1838,2029,2634,720,0.355
Outpatient Surgical Procedures,Liver biopsy,0,Legacy Good Samaritan Med Ctr,10,2287,2919,4140,15,2063,2946,3825,-27,-0.009
Outpatient Surgical Procedures,Liver biopsy,0,Legacy Meridian Park Med Ctr,16,298,298,1928,,,,,,
Outpatient Surgical Procedures,Liver biopsy,0,McKenzie-Willamette Med Ctr,13,1548,3667,5904,11,1548,3989,6303,-322,-0.081
Outpatient Surgical Procedures,Liver biopsy,0,OHSU Hosp,46,2521,3913,4568,33,3272,3715,3904,198,0.053
Outpatient Surgical Procedures,Liver biopsy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,13,3579,3579,4392,19,3054,3313,4643,266,0.08
Outpatient Surgical Procedures,Liver biopsy,0,Providence Portland Med Ctr,36,2235,2849,3643,34,2461,2675,2675,174,0.065
Outpatient Surgical Procedures,Liver biopsy,0,Providence St Vincent Med Ctr,30,2715,2849,2904,35,2656,2675,3254,174,0.065
Outpatient Surgical Procedures,Liver biopsy,0,Salem Health Salem Hosp,17,4667,5007,5150,20,3160,3972,4483,1035,0.261
Outpatient Surgical Procedures,Liver biopsy,0,St Charles Med Ctr-Bend,15,2558,3108,3465,18,2415,3375,3783,-267,-0.079
Outpatient Surgical Procedures,Mastectomy,1,Statewide,824,7568,13098,19321,882,7010,12472,19245,626,0.05
Outpatient Surgical Procedures,Mastectomy,0,Asante Rogue Valley Med Ctr,29,11335,14743,42617,34,9728,16283,28517,-1540,-0.095
Outpatient Surgical Procedures,Mastectomy,0,Asante Three Rivers Med Ctr,11,10246,18073,20299,25,9331,10490,16890,7583,0.723
Outpatient Surgical Procedures,Mastectomy,0,Good Samaritan Regional Med Ctr,12,17526,20626,40386,,,,,,
Outpatient Surgical Procedures,Mastectomy,0,Kaiser Sunnyside Med Ctr,52,14822,19282,26585,55,13538,17195,19779,2087,0.121
Outpatient Surgical Procedures,Mastectomy,0,Kaiser Westside Med Ctr,100,7444,13337,19500,88,7515,13889,19848,-552,-0.04
Outpatient Surgical Procedures,Mastectomy,0,Legacy Good Samaritan Med Ctr,104,12192,16366,24211,101,11674,17456,30133,-1090,-0.062
Outpatient Surgical Procedures,Mastectomy,0,Legacy Meridian Park Med Ctr,15,7619,12650,18192,19,6670,14773,35977,-2123,-0.144
Outpatient Surgical Procedures,Mastectomy,0,Legacy Mount Hood Med Ctr,10,8377,13501,14777,10,6599,10084,14028,3417,0.339
Outpatient Surgical Procedures,Mastectomy,0,Mid-Columbia Med Ctr,10,11213,13704,15569,,,,,,
Outpatient Surgical Procedures,Mastectomy,0,OHSU Hosp,109,9994,14096,17727,107,10742,13877,20566,219,0.016
Outpatient Surgical Procedures,Mastectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,16,12777,22152,40076,18,14781,18081,24831,4071,0.225
Outpatient Surgical Procedures,Mastectomy,0,Providence Medford Med Ctr,21,8606,10469,22000,25,10665,13685,18308,-3216,-0.235
Outpatient Surgical Procedures,Mastectomy,0,Providence Newberg Med Ctr,12,9730,14812,19754,,,,,,
Outpatient Surgical Procedures,Mastectomy,0,Providence Portland Med Ctr,63,5698,5725,8052,94,4923,5350,7561,375,0.07
Outpatient Surgical Procedures,Mastectomy,0,Providence St Vincent Med Ctr,121,5698,6450,10626,128,5350,5787,9758,663,0.115
Outpatient Surgical Procedures,Mastectomy,0,Salem Health Salem Hosp,38,8287,12814,18118,51,6303,11104,15744,1710,0.154
Outpatient Surgical Procedures,Mastectomy,0,St Charles Med Ctr-Bend,26,12833,13954,20012,19,10646,15543,34276,-1589,-0.102
Outpatient Surgical Procedures,Nasal endoscopy,1,Statewide,985,5795,11730,16281,1192,7561,13302,18645,-1572,-0.118
Outpatient Surgical Procedures,Nasal endoscopy,0,Asante Rogue Valley Med Ctr,19,14934,16961,19640,21,12396,13152,16075,3809,0.29
Outpatient Surgical Procedures,Nasal endoscopy,0,Asante Three Rivers Med Ctr,38,13893,18270,18574,47,14633,17688,24544,582,0.033
Outpatient Surgical Procedures,Nasal endoscopy,0,Kaiser Sunnyside Med Ctr,12,15132,16625,26131,29,10749,11560,23990,5065,0.438
Outpatient Surgical Procedures,Nasal endoscopy,0,Kaiser Westside Med Ctr,12,9435,11357,16481,,,,,,
Outpatient Surgical Procedures,Nasal endoscopy,0,Legacy Emanuel Med Ctr,97,8580,12549,14962,93,10428,14939,18531,-2390,-0.16
Outpatient Surgical Procedures,Nasal endoscopy,0,Legacy Meridian Park Med Ctr,12,10497,14320,21555,23,13101,13496,20541,824,0.061
Outpatient Surgical Procedures,Nasal endoscopy,0,McKenzie-Willamette Med Ctr,39,2930,2930,17612,23,3334,17378,35263,-14448,-0.831
Outpatient Surgical Procedures,Nasal endoscopy,0,OHSU Hosp,261,8676,13159,15936,306,9251,13352,17576,-193,-0.014
Outpatient Surgical Procedures,Nasal endoscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,54,13936,17726,18255,90,16494,22776,34898,-5050,-0.222
