Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Outpatient Surgical Procedures,Hysterectomy,0,Providence St Vincent Med Ctr,314,8052,12621,21072
Outpatient Surgical Procedures,Hysterectomy,0,Providence Willamette Falls Med Ctr,22,16034,22034,23197
Outpatient Surgical Procedures,Hysterectomy,0,Salem Health Salem Hosp,151,8332,11953,18192
Outpatient Surgical Procedures,Hysterectomy,0,Samaritan Albany Gen Hosp,56,10723,15685,17688
Outpatient Surgical Procedures,Hysterectomy,0,Sky Lakes Med Ctr,82,12658,19020,23706
Outpatient Surgical Procedures,Hysterectomy,0,St Anthony Hospital,25,11993,17833,21548
Outpatient Surgical Procedures,Hysterectomy,0,St Charles Med Ctr-Bend,170,12225,18588,23576
Outpatient Surgical Procedures,Hysterectomy,0,St Charles Med Ctr-Redmond,36,10847,11712,14374
Outpatient Surgical Procedures,Hysterectomy,0,Tuality Comm Hosp,23,9856,12002,17150
Outpatient Surgical Procedures,Hysterectomy,0,Willamette Valley Med Ctr,40,13474,18495,22570
Outpatient Surgical Procedures,Hysteroscopy,1,Statewide,1371,5698,7372,10108
Outpatient Surgical Procedures,Hysteroscopy,0,Adventist Med Ctr,20,4389,4800,6276
Outpatient Surgical Procedures,Hysteroscopy,0,Asante Rogue Valley Med Ctr,39,8063,9177,11189
Outpatient Surgical Procedures,Hysteroscopy,0,Columbia Mem Hosp,17,8504,10244,11474
Outpatient Surgical Procedures,Hysteroscopy,0,Good Samaritan Regional Med Ctr,23,8235,9627,13286
Outpatient Surgical Procedures,Hysteroscopy,0,Good Shepherd Med Ctr,14,4028,6832,8665
Outpatient Surgical Procedures,Hysteroscopy,0,Grande Ronde Hosp,20,6179,7734,10298
Outpatient Surgical Procedures,Hysteroscopy,0,Kaiser Sunnyside Med Ctr,17,8264,10033,12144
Outpatient Surgical Procedures,Hysteroscopy,0,Kaiser Westside Med Ctr,100,5646,6911,9601
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Emanuel Med Ctr,22,6682,10928,14550
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Good Samaritan Med Ctr,67,6682,7840,9727
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Meridian Park Med Ctr,29,6682,6979,8211
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Mount Hood Med Ctr,18,6682,6979,8421
Outpatient Surgical Procedures,Hysteroscopy,0,Legacy Silverton Med Ctr,26,11517,13484,16316
Outpatient Surgical Procedures,Hysteroscopy,0,McKenzie-Willamette Med Ctr,18,2371,11186,12855
Outpatient Surgical Procedures,Hysteroscopy,0,Mercy Med Ctr,34,8463,10984,13460
Outpatient Surgical Procedures,Hysteroscopy,0,OHSU Hosp,134,5525,6249,7998
Outpatient Surgical Procedures,Hysteroscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,14,6702,8309,9879
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Hood River Mem Hosp,11,6446,8032,9663
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Medford Med Ctr,40,3250,7730,9562
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Milwaukie Hosp,12,4457,5698,5725
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Newberg Med Ctr,28,7339,8131,9289
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Portland Med Ctr,150,2862,5698,6429
Outpatient Surgical Procedures,Hysteroscopy,0,Providence St Vincent Med Ctr,207,5268,5725,8052
Outpatient Surgical Procedures,Hysteroscopy,0,Providence Willamette Falls Med Ctr,17,6594,10306,11977
Outpatient Surgical Procedures,Hysteroscopy,0,Salem Health Salem Hosp,40,4511,6736,9737
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan Albany Gen Hosp,18,10529,11755,16122
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan Lebanon Comm Hosp,10,9257,10599,12580
Outpatient Surgical Procedures,Hysteroscopy,0,Samaritan North Lincoln Hosp,11,6448,8823,10104
Outpatient Surgical Procedures,Hysteroscopy,0,Santiam Hosp,10,5541,5852,6455
Outpatient Surgical Procedures,Hysteroscopy,0,Sky Lakes Med Ctr,20,8367,10207,12041
Outpatient Surgical Procedures,Hysteroscopy,0,St Anthony Hospital,17,7420,8647,11001
Outpatient Surgical Procedures,Hysteroscopy,0,St Charles Med Ctr-Bend,76,7444,9612,12076
Outpatient Surgical Procedures,Hysteroscopy,0,St Charles Med Ctr-Redmond,12,7569,9874,13024
Outpatient Surgical Procedures,Hysteroscopy,0,Willamette Valley Med Ctr,27,6753,9628,12990
Outpatient Surgical Procedures,Knee arthroscopy,1,Statewide,1324,6166,8123,13053
Outpatient Surgical Procedures,Knee arthroscopy,0,Adventist Med Ctr,45,5108,6007,7656
Outpatient Surgical Procedures,Knee arthroscopy,0,Asante Ashland Comm Hosp,22,5577,7698,8672
Outpatient Surgical Procedures,Knee arthroscopy,0,Asante Three Rivers Med Ctr,36,6894,9104,9935
Outpatient Surgical Procedures,Knee arthroscopy,0,Good Samaritan Regional Med Ctr,87,6141,7695,8389
Outpatient Surgical Procedures,Knee arthroscopy,0,Good Shepherd Med Ctr,35,7069,8764,12994
Outpatient Surgical Procedures,Knee arthroscopy,0,Grande Ronde Hosp,27,6584,7396,16282
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Emanuel Med Ctr,18,7799,8185,8642
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Good Samaritan Med Ctr,53,8191,11138,15910
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Meridian Park Med Ctr,52,7865,8457,12417
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Mount Hood Med Ctr,11,8123,8246,9537
Outpatient Surgical Procedures,Knee arthroscopy,0,Legacy Silverton Med Ctr,57,11235,13122,15059
Outpatient Surgical Procedures,Knee arthroscopy,0,McKenzie-Willamette Med Ctr,47,2930,7602,15252
Outpatient Surgical Procedures,Knee arthroscopy,0,Mercy Med Ctr,45,8899,12161,17092
Outpatient Surgical Procedures,Knee arthroscopy,0,Mid-Columbia Med Ctr,13,6072,6467,28517
Outpatient Surgical Procedures,Knee arthroscopy,0,OHSU Hosp,194,6947,12200,16569
Outpatient Surgical Procedures,Knee arthroscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,14,7801,9111,10478
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Milwaukie Hosp,42,5695,5698,6163
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Newberg Med Ctr,62,7132,7535,13202
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Portland Med Ctr,105,5695,6163,6209
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence St Vincent Med Ctr,15,5698,7495,19104
Outpatient Surgical Procedures,Knee arthroscopy,0,Providence Willamette Falls Med Ctr,17,7810,8284,11026
Outpatient Surgical Procedures,Knee arthroscopy,0,Salem Health Salem Hosp,29,4692,5979,10989
Outpatient Surgical Procedures,Knee arthroscopy,0,Samaritan Albany Gen Hosp,13,7532,10202,13472
Outpatient Surgical Procedures,Knee arthroscopy,0,Santiam Hosp,17,1222,7830,8617
Outpatient Surgical Procedures,Knee arthroscopy,0,Sky Lakes Med Ctr,54,6699,7219,9596
Outpatient Surgical Procedures,Knee arthroscopy,0,St Alphonsus Med Ctr-Baker City,13,5978,6463,6884
Outpatient Surgical Procedures,Knee arthroscopy,0,St Alphonsus Med Ctr-Ontario,10,9577,18255,23508
Outpatient Surgical Procedures,Knee arthroscopy,0,St Anthony Hospital,10,7057,7555,9012
Outpatient Surgical Procedures,Knee arthroscopy,0,Tuality Comm Hosp,41,5408,6341,8589
Outpatient Surgical Procedures,Knee arthroscopy,0,Willamette Valley Med Ctr,44,7860,10587,19451
Outpatient Surgical Procedures,Lesion removal,1,Statewide,866,1757,4593,8052
Outpatient Surgical Procedures,Lesion removal,0,Asante Rogue Valley Med Ctr,22,7665,8535,8535
Outpatient Surgical Procedures,Lesion removal,0,Asante Three Rivers Med Ctr,11,2569,4576,5603
Outpatient Surgical Procedures,Lesion removal,0,Kaiser Westside Med Ctr,50,5238,6925,9901
Outpatient Surgical Procedures,Lesion removal,0,Legacy Emanuel Med Ctr,26,5405,6710,9968
Outpatient Surgical Procedures,Lesion removal,0,Legacy Good Samaritan Med Ctr,25,5221,7083,9924
Outpatient Surgical Procedures,Lesion removal,0,Legacy Meridian Park Med Ctr,12,3085,5941,9098
Outpatient Surgical Procedures,Lesion removal,0,McKenzie-Willamette Med Ctr,14,4623,18502,18502
Outpatient Surgical Procedures,Lesion removal,0,OHSU Hosp,381,1269,2027,4333
Outpatient Surgical Procedures,Lesion removal,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,24,1353,2443,8437
Outpatient Surgical Procedures,Lesion removal,0,Providence Milwaukie Hosp,13,2609,3801,4615
Outpatient Surgical Procedures,Lesion removal,0,Providence Newberg Med Ctr,21,6135,6894,9375
Outpatient Surgical Procedures,Lesion removal,0,Providence Portland Med Ctr,43,4593,5312,8802
Outpatient Surgical Procedures,Lesion removal,0,Providence St Vincent Med Ctr,50,4593,5020,8090
Outpatient Surgical Procedures,Lesion removal,0,Salem Health Salem Hosp,30,2663,5375,9296
Outpatient Surgical Procedures,Lesion removal,0,Sky Lakes Med Ctr,16,4455,5584,8705
Outpatient Surgical Procedures,Liver biopsy,1,Statewide,330,2633,2900,4188
Outpatient Surgical Procedures,Liver biopsy,0,Asante Rogue Valley Med Ctr,14,3573,4766,5443
Outpatient Surgical Procedures,Liver biopsy,0,Kaiser Sunnyside Med Ctr,62,2634,2749,2749
Outpatient Surgical Procedures,Liver biopsy,0,Legacy Good Samaritan Med Ctr,10,2287,2919,4140
Outpatient Surgical Procedures,Liver biopsy,0,Legacy Meridian Park Med Ctr,16,298,298,1928
Outpatient Surgical Procedures,Liver biopsy,0,McKenzie-Willamette Med Ctr,13,1548,3667,5904
Outpatient Surgical Procedures,Liver biopsy,0,OHSU Hosp,46,2521,3913,4568
Outpatient Surgical Procedures,Liver biopsy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,13,3579,3579,4392
Outpatient Surgical Procedures,Liver biopsy,0,Providence Portland Med Ctr,36,2235,2849,3643
Outpatient Surgical Procedures,Liver biopsy,0,Providence St Vincent Med Ctr,30,2715,2849,2904
Outpatient Surgical Procedures,Liver biopsy,0,Salem Health Salem Hosp,17,4667,5007,5150
Outpatient Surgical Procedures,Liver biopsy,0,St Charles Med Ctr-Bend,15,2558,3108,3465
Outpatient Surgical Procedures,Mastectomy,1,Statewide,824,7568,13098,19321
Outpatient Surgical Procedures,Mastectomy,0,Asante Rogue Valley Med Ctr,29,11335,14743,42617
Outpatient Surgical Procedures,Mastectomy,0,Asante Three Rivers Med Ctr,11,10246,18073,20299
Outpatient Surgical Procedures,Mastectomy,0,Good Samaritan Regional Med Ctr,12,17526,20626,40386
Outpatient Surgical Procedures,Mastectomy,0,Kaiser Sunnyside Med Ctr,52,14822,19282,26585
Outpatient Surgical Procedures,Mastectomy,0,Kaiser Westside Med Ctr,100,7444,13337,19500
Outpatient Surgical Procedures,Mastectomy,0,Legacy Good Samaritan Med Ctr,104,12192,16366,24211
Outpatient Surgical Procedures,Mastectomy,0,Legacy Meridian Park Med Ctr,15,7619,12650,18192
Outpatient Surgical Procedures,Mastectomy,0,Legacy Mount Hood Med Ctr,10,8377,13501,14777
Outpatient Surgical Procedures,Mastectomy,0,Mid-Columbia Med Ctr,10,11213,13704,15569
Outpatient Surgical Procedures,Mastectomy,0,OHSU Hosp,109,9994,14096,17727
Outpatient Surgical Procedures,Mastectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,16,12777,22152,40076
Outpatient Surgical Procedures,Mastectomy,0,Providence Medford Med Ctr,21,8606,10469,22000
Outpatient Surgical Procedures,Mastectomy,0,Providence Newberg Med Ctr,12,9730,14812,19754
Outpatient Surgical Procedures,Mastectomy,0,Providence Portland Med Ctr,63,5698,5725,8052
Outpatient Surgical Procedures,Mastectomy,0,Providence St Vincent Med Ctr,121,5698,6450,10626
Outpatient Surgical Procedures,Mastectomy,0,Salem Health Salem Hosp,38,8287,12814,18118
Outpatient Surgical Procedures,Mastectomy,0,St Charles Med Ctr-Bend,26,12833,13954,20012
Outpatient Surgical Procedures,Nasal endoscopy,1,Statewide,985,5795,11730,16281
Outpatient Surgical Procedures,Nasal endoscopy,0,Asante Rogue Valley Med Ctr,19,14934,16961,19640
Outpatient Surgical Procedures,Nasal endoscopy,0,Asante Three Rivers Med Ctr,38,13893,18270,18574
Outpatient Surgical Procedures,Nasal endoscopy,0,Kaiser Sunnyside Med Ctr,12,15132,16625,26131
Outpatient Surgical Procedures,Nasal endoscopy,0,Kaiser Westside Med Ctr,12,9435,11357,16481
Outpatient Surgical Procedures,Nasal endoscopy,0,Legacy Emanuel Med Ctr,97,8580,12549,14962
Outpatient Surgical Procedures,Nasal endoscopy,0,Legacy Meridian Park Med Ctr,12,10497,14320,21555
Outpatient Surgical Procedures,Nasal endoscopy,0,McKenzie-Willamette Med Ctr,39,2930,2930,17612
Outpatient Surgical Procedures,Nasal endoscopy,0,OHSU Hosp,261,8676,13159,15936
Outpatient Surgical Procedures,Nasal endoscopy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,54,13936,17726,18255
Outpatient Surgical Procedures,Nasal endoscopy,0,Providence Milwaukie Hosp,15,2100,5695,10478
Outpatient Surgical Procedures,Nasal endoscopy,0,Providence Newberg Med Ctr,37,12245,13432,19762
Outpatient Surgical Procedures,Nasal endoscopy,0,Providence Portland Med Ctr,72,5698,6163,9188
Outpatient Surgical Procedures,Nasal endoscopy,0,Providence St Vincent Med Ctr,204,3250,5725,10478
Outpatient Surgical Procedures,Nasal endoscopy,0,Samaritan Albany Gen Hosp,40,13389,16203,17949
Outpatient Surgical Procedures,Nasal endoscopy,0,St Charles Med Ctr-Bend,20,3266,11096,19811
Outpatient Surgical Procedures,Nasal endoscopy,0,Tuality Comm Hosp,15,1752,6362,15326
Outpatient Surgical Procedures,Nerve block,1,Statewide,1749,1640,2144,5081
Outpatient Surgical Procedures,Nerve block,0,Adventist Med Ctr,37,1981,5108,12965
Outpatient Surgical Procedures,Nerve block,0,Asante Ashland Comm Hosp,39,2058,2762,3349
Outpatient Surgical Procedures,Nerve block,0,Curry Gen Hosp,10,2478,2678,3037
Outpatient Surgical Procedures,Nerve block,0,Kaiser Sunnyside Med Ctr,31,12185,16518,19344
Outpatient Surgical Procedures,Nerve block,0,Kaiser Westside Med Ctr,37,14073,15414,16539
Outpatient Surgical Procedures,Nerve block,0,Legacy Good Samaritan Med Ctr,123,1189,1726,2310
Outpatient Surgical Procedures,Nerve block,0,Legacy Meridian Park Med Ctr,21,1238,1291,1536
Outpatient Surgical Procedures,Nerve block,0,McKenzie-Willamette Med Ctr,20,2371,3132,11610
Outpatient Surgical Procedures,Nerve block,0,OHSU Hosp,403,1495,2070,2954
Outpatient Surgical Procedures,Nerve block,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,35,11145,14825,17763
Outpatient Surgical Procedures,Nerve block,0,Providence Hood River Mem Hosp,41,9245,12778,14611
Outpatient Surgical Procedures,Nerve block,0,Providence Medford Med Ctr,38,1848,2644,3323
Outpatient Surgical Procedures,Nerve block,0,Providence Milwaukie Hosp,177,1448,1854,2172
Outpatient Surgical Procedures,Nerve block,0,Providence Newberg Med Ctr,22,960,2832,15698
Outpatient Surgical Procedures,Nerve block,0,Providence Portland Med Ctr,452,1658,2046,2533
Outpatient Surgical Procedures,Nerve block,0,Providence Seaside Hosp,13,2350,10356,16030
Outpatient Surgical Procedures,Nerve block,0,Providence St Vincent Med Ctr,29,5695,7440,13745
Outpatient Surgical Procedures,Nerve block,0,Providence Willamette Falls Med Ctr,29,6514,13030,15168
Outpatient Surgical Procedures,Nerve block,0,Salem Health Salem Hosp,43,6780,9591,17659
Outpatient Surgical Procedures,Nerve block,0,Sky Lakes Med Ctr,27,1652,2002,2850
Outpatient Surgical Procedures,Nerve block,0,St Anthony Hospital,19,9250,12042,20474
Outpatient Surgical Procedures,Nerve block,0,Tuality Comm Hosp,45,1611,1896,2198
Outpatient Surgical Procedures,Shoulder arthroscopy,1,Statewide,1146,8854,13912,18300
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Adventist Med Ctr,53,11257,14861,16226
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Asante Ashland Comm Hosp,15,13861,22050,27727
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Asante Rogue Valley Med Ctr,15,24315,26100,28742
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Asante Three Rivers Med Ctr,65,13786,20414,21332
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Columbia Mem Hosp,16,15992,16884,22861
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Good Shepherd Med Ctr,17,10816,12925,15753
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Grande Ronde Hosp,34,13249,16502,20301
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Kaiser Sunnyside Med Ctr,14,15655,17225,24550
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Legacy Good Samaritan Med Ctr,62,13312,15960,18816
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Legacy Meridian Park Med Ctr,53,11531,13919,17217
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Legacy Silverton Med Ctr,25,17337,24112,32152
Outpatient Surgical Procedures,Shoulder arthroscopy,0,McKenzie-Willamette Med Ctr,11,3334,15252,23347
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Mercy Med Ctr,62,18300,23921,26856
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Mid-Columbia Med Ctr,12,13135,21414,28635
Outpatient Surgical Procedures,Shoulder arthroscopy,0,OHSU Hosp,105,11121,13775,16969
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Hood River Mem Hosp,39,10598,11676,15255
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Milwaukie Hosp,31,5268,7440,9014
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Newberg Med Ctr,22,3684,12168,16369
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Portland Med Ctr,150,7060,8052,8090
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Seaside Hosp,14,2350,19925,24997
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence St Vincent Med Ctr,26,8052,12077,18557
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Providence Willamette Falls Med Ctr,18,17518,17518,18249
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Salem Health Salem Hosp,45,7625,9831,17657
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Sky Lakes Med Ctr,64,10336,13694,16618
Outpatient Surgical Procedures,Shoulder arthroscopy,0,St Alphonsus Med Ctr-Ontario,11,16972,21481,24609
Outpatient Surgical Procedures,Shoulder arthroscopy,0,St Charles Med Ctr-Bend,15,8949,11117,14208
Outpatient Surgical Procedures,Shoulder arthroscopy,0,St Charles Med Ctr-Redmond,21,4250,13730,15651
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Tuality Comm Hosp,38,8058,12776,17280
Outpatient Surgical Procedures,Shoulder arthroscopy,0,Willamette Valley Med Ctr,44,9841,16381,17960
Outpatient Surgical Procedures,Spinal injection,1,Statewide,509,846,1567,2260
Outpatient Surgical Procedures,Spinal injection,0,Asante Rogue Valley Med Ctr,21,1896,2194,3341
Outpatient Surgical Procedures,Spinal injection,0,Kaiser Sunnyside Med Ctr,62,795,846,1795
Outpatient Surgical Procedures,Spinal injection,0,Kaiser Westside Med Ctr,45,795,846,850
Outpatient Surgical Procedures,Spinal injection,0,Legacy Good Samaritan Med Ctr,10,1390,1841,2074
Outpatient Surgical Procedures,Spinal injection,0,Legacy Meridian Park Med Ctr,16,1732,1943,2915
Outpatient Surgical Procedures,Spinal injection,0,Legacy Mount Hood Med Ctr,15,1594,2408,3024
Outpatient Surgical Procedures,Spinal injection,0,OHSU Hosp,39,1592,2184,3441
Outpatient Surgical Procedures,Spinal injection,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,29,1301,1602,2348
Outpatient Surgical Procedures,Spinal injection,0,Providence Portland Med Ctr,46,879,1060,1605
Outpatient Surgical Procedures,Spinal injection,0,Providence St Vincent Med Ctr,77,776,1170,2108
Outpatient Surgical Procedures,Spinal injection,0,St Charles Med Ctr-Bend,50,1260,1773,2260
Outpatient Surgical Procedures,Spinal laminectomy,1,Statewide,919,12077,15913,19498
Outpatient Surgical Procedures,Spinal laminectomy,0,Adventist Med Ctr,41,10826,12491,16364
Outpatient Surgical Procedures,Spinal laminectomy,0,Asante Rogue Valley Med Ctr,26,17213,22637,22637
Outpatient Surgical Procedures,Spinal laminectomy,0,Good Samaritan Regional Med Ctr,74,15047,20125,23008
Outpatient Surgical Procedures,Spinal laminectomy,0,Kaiser Sunnyside Med Ctr,80,14472,16434,19312
Outpatient Surgical Procedures,Spinal laminectomy,0,Legacy Emanuel Med Ctr,33,16731,21550,29200
Outpatient Surgical Procedures,Spinal laminectomy,0,Legacy Good Samaritan Med Ctr,32,11464,12213,16745
Outpatient Surgical Procedures,Spinal laminectomy,0,Legacy Meridian Park Med Ctr,28,12492,17217,17671
Outpatient Surgical Procedures,Spinal laminectomy,0,Legacy Mount Hood Med Ctr,11,11719,13023,17217
Outpatient Surgical Procedures,Spinal laminectomy,0,McKenzie-Willamette Med Ctr,17,15800,19158,22192
Outpatient Surgical Procedures,Spinal laminectomy,0,OHSU Hosp,61,12436,15138,17764
Outpatient Surgical Procedures,Spinal laminectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,80,14886,16050,20674
Outpatient Surgical Procedures,Spinal laminectomy,0,Providence Medford Med Ctr,19,13568,19069,19749
Outpatient Surgical Procedures,Spinal laminectomy,0,Providence Portland Med Ctr,115,10430,12657,16940
Outpatient Surgical Procedures,Spinal laminectomy,0,Providence St Vincent Med Ctr,149,12046,14825,17719
Outpatient Surgical Procedures,Spinal laminectomy,0,Salem Health Salem Hosp,36,10006,14715,19804
Outpatient Surgical Procedures,Spinal laminectomy,0,Sky Lakes Med Ctr,15,15989,19254,29819
Outpatient Surgical Procedures,Spinal laminectomy,0,St Charles Med Ctr-Bend,75,10866,12804,16344
Outpatient Surgical Procedures,Subcutaneous I&D,1,Statewide,1042,1213,1547,2497
Outpatient Surgical Procedures,Subcutaneous I&D,0,Adventist Med Ctr,18,1106,1313,1582
Outpatient Surgical Procedures,Subcutaneous I&D,0,Asante Rogue Valley Med Ctr,34,1475,2042,2313
Outpatient Surgical Procedures,Subcutaneous I&D,0,Grande Ronde Hosp,13,592,592,676
Outpatient Surgical Procedures,Subcutaneous I&D,0,Kaiser Sunnyside Med Ctr,27,1285,2760,5656
Outpatient Surgical Procedures,Subcutaneous I&D,0,Kaiser Westside Med Ctr,14,1285,2243,5440
Outpatient Surgical Procedures,Subcutaneous I&D,0,Legacy Good Samaritan Med Ctr,12,465,1031,3383
Outpatient Surgical Procedures,Subcutaneous I&D,0,Legacy Meridian Park Med Ctr,27,768,1387,1482
Outpatient Surgical Procedures,Subcutaneous I&D,0,Mid-Columbia Med Ctr,11,956,2532,4530
Outpatient Surgical Procedures,Subcutaneous I&D,0,OHSU Hosp,131,1476,1740,2601
Outpatient Surgical Procedures,Subcutaneous I&D,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,26,1273,4608,7206
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence Hood River Mem Hosp,18,1493,3276,4518
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence Medford Med Ctr,15,750,917,1690
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence Milwaukie Hosp,32,1269,1542,2281
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence Newberg Med Ctr,50,1376,1582,2536
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence Portland Med Ctr,195,956,1373,1779
Outpatient Surgical Procedures,Subcutaneous I&D,0,Providence St Vincent Med Ctr,231,1234,1407,1903
Outpatient Surgical Procedures,Subcutaneous I&D,0,Salem Health Salem Hosp,35,828,1526,2023
Outpatient Surgical Procedures,Subcutaneous I&D,0,Sky Lakes Med Ctr,27,3047,4239,4570
Outpatient Surgical Procedures,Subcutaneous I&D,0,St Charles Med Ctr-Bend,27,1062,1480,1750
Outpatient Surgical Procedures,Subcutaneous I&D,0,Tuality Comm Hosp,10,636,1461,1983
Outpatient Surgical Procedures,Thyroidectomy,1,Statewide,441,12537,14602,18196
Outpatient Surgical Procedures,Thyroidectomy,0,Kaiser Sunnyside Med Ctr,24,13770,14597,17093
Outpatient Surgical Procedures,Thyroidectomy,0,Kaiser Westside Med Ctr,77,13710,16388,19499
Outpatient Surgical Procedures,Thyroidectomy,0,Legacy Emanuel Med Ctr,21,10853,13324,15032
Outpatient Surgical Procedures,Thyroidectomy,0,OHSU Hosp,88,11680,13586,17422
Outpatient Surgical Procedures,Thyroidectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,30,13237,17186,20968
Outpatient Surgical Procedures,Thyroidectomy,0,Providence Portland Med Ctr,45,9669,13350,14980
Outpatient Surgical Procedures,Thyroidectomy,0,Providence St Vincent Med Ctr,63,9669,13515,16238
Outpatient Surgical Procedures,Thyroidectomy,0,Salem Health Salem Hosp,13,12759,14649,17981
Outpatient Surgical Procedures,Thyroidectomy,0,St Charles Med Ctr-Bend,12,13955,15146,18207
Outpatient Surgical Procedures,Tonsillectomy,1,Statewide,924,5222,6753,8771
Outpatient Surgical Procedures,Tonsillectomy,0,Asante Rogue Valley Med Ctr,10,8523,8953,10038
Outpatient Surgical Procedures,Tonsillectomy,0,Asante Three Rivers Med Ctr,21,3485,5313,8260
Outpatient Surgical Procedures,Tonsillectomy,0,Good Shepherd Med Ctr,14,4841,5099,6330
Outpatient Surgical Procedures,Tonsillectomy,0,Grande Ronde Hosp,10,6126,7264,8636
Outpatient Surgical Procedures,Tonsillectomy,0,Legacy Emanuel Med Ctr,162,6753,8994,10548
Outpatient Surgical Procedures,Tonsillectomy,0,Legacy Mount Hood Med Ctr,12,6581,9477,11049
Outpatient Surgical Procedures,Tonsillectomy,0,McKenzie-Willamette Med Ctr,16,3334,4143,11871
Outpatient Surgical Procedures,Tonsillectomy,0,Mercy Med Ctr,20,4032,4689,5158
Outpatient Surgical Procedures,Tonsillectomy,0,OHSU Hosp,215,4809,6656,8468
Outpatient Surgical Procedures,Tonsillectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,26,8014,8689,10364
Outpatient Surgical Procedures,Tonsillectomy,0,Providence Hood River Mem Hosp,18,5150,6703,7509
Outpatient Surgical Procedures,Tonsillectomy,0,Providence Milwaukie Hosp,21,4737,6163,8052
Outpatient Surgical Procedures,Tonsillectomy,0,Providence Newberg Med Ctr,36,4841,7022,7864
Outpatient Surgical Procedures,Tonsillectomy,0,Providence Portland Med Ctr,43,4402,6192,8052
Outpatient Surgical Procedures,Tonsillectomy,0,Providence St Vincent Med Ctr,86,3150,6163,7023
Outpatient Surgical Procedures,Tonsillectomy,0,Samaritan Albany Gen Hosp,42,5207,6396,7316
Outpatient Surgical Procedures,Tonsillectomy,0,Sky Lakes Med Ctr,33,6315,7217,8394
Outpatient Surgical Procedures,Tonsillectomy,0,St Anthony Hospital,13,6178,6302,6449
Outpatient Surgical Procedures,Tonsillectomy,0,St Charles Med Ctr-Bend,29,4806,5736,6166
Outpatient Surgical Procedures,Tonsillectomy,0,Willamette Valley Med Ctr,12,6534,8684,13221
Outpatient Surgical Procedures,Tympanostomy,1,Statewide,545,3489,5428,7886
